DATE,STATION_NAME,NB_VALID,DEPARTEMENT
2019-07-01,MASSY-PALAISEAU,6511,91
2019-07-01,MASSY-VERRIERES,254,91
2019-07-01,MAUBERT-MUTUALITE,4000,75
2019-07-01,MAULE,239,78
2019-07-01,MAURECOURT,582,95
2019-07-01,MEAUX,10002,77
2019-07-01,MELUN,16532,77
2019-07-01,MENILMONTANT,9094,75
2019-07-01,MENNECY,910,91
2019-07-01,MERIEL,316,95
2019-07-01,MERY-VAL D'OISE,263,95
2019-07-01,MEUDON,829,92
2019-07-01,MEUDON-VAL-FLEURY,2904,92
2019-07-01,MEULAN-HARDRICOURT,471,78
2019-07-01,MICHEL BIZOT,4727,75
2019-07-01,MICHEL-ANGE-AUTEUIL,5159,75
2019-07-01,MICHEL-ANGE-MOLITOR,4599,75
2019-07-01,MIRABEAU,3111,75
2019-07-01,MIROMESNIL,19613,75
2019-07-01,MITRY-CLAYE,3125,77
2019-07-01,MONCEAU,5107,75
2019-07-01,MONNERVILLE,39,91
2019-07-01,MONTEREAU,1935,77
2019-07-01,MONTFORT-L'AMAURY-MERE,866,78
2019-07-01,MONTGALLET,4219,75
2019-07-01,MONTGERON-CROSNE,4284,91
2019-07-01,MONTGEROULT-COURCELLES,27,95
2019-07-01,MONTIGNY-BEAUCHAMP,4234,95
2019-07-01,MONTIGNY-SUR-LOING,174,77
2019-07-01,MONTPARNASSE,107432,75
2019-07-01,MONTREUIL,2364,93
2019-07-01,MONTRY-CONDE,42,77
2019-07-01,MONTSOULT-MAFFLIERS,1689,95
2019-07-01,MORET-VENEUX-LES-SABLONS,853,77
2019-07-01,MORMANT,527,77
2019-07-01,MORTCERF,161,77
2019-07-01,MOULIN-GALANT,437,91
2019-07-01,MOUROUX,147,77
2019-07-01,MOUTON-DUVERNET,3216,75
2019-07-01,MUSEE D'ORSAY,3669,75
2019-07-01,NANGIS,1049,77
2019-07-01,NANTERRE-UNIVERSITE,436,92
2019-07-01,NANTEUIL-SAACY,706,77
2019-07-01,NATION,20578,75
2019-07-01,NATIONALE,2501,75
2019-07-01,NEMOURS-SAINT-PIERRE,1235,77
2019-07-01,NEUVILLE UNIVERSITE,2040,95
2019-07-01,NEZEL-AULNAY,97,78
2019-07-01,NOGENT-LE-PERREUX,5100,94
2019-07-01,NOINTEL-MOURS,449,95
2019-07-01,NOISY-LE-ROI,21,78
2019-07-01,NOISY-LE-SEC,15845,93
2019-07-01,NOTRE-DAME-DE-LORETTE,7179,75
2019-07-01,NOTRE-DAME-DES-CHAMPS,4072,75
2019-07-01,OBERKAMPF,10357,75
2019-07-01,ODEON,10479,75
2019-07-01,OLYMPIADES,18116,75
2019-07-01,OPERA,26832,75
2019-07-01,ORANGIS-BOIS DE L'EPINE,2934,91
2019-07-01,ORGERUS-BEHOUST,286,78
2019-07-01,ORLY VILLE,2232,94
2019-07-01,OSNY,386,95
2019-07-01,OURCQ,10122,75
